Employee_ID,Age,Department,Job_Role,Monthly_Income,Years_At_Company,Job_Satisfaction,OverTime,Business_Travel,Performance_Rating,Attrition
10001,27,Research & Development,Developer,17459,13,1,No,Travel_Rarely,4,No
10002,46,Human Resources,Sales Executive,4194,7,1,Yes,Frequently,3,No
10003,52,Research & Development,Research Scientist,15539,11,2,Yes,Travel_Rarely,3,No
10004,30,Research & Development,Developer,7257,9,2,No,Frequently,4,No
10005,41,Research & Development,HR Specialist,8782,13,1,Yes,Travel_Rarely,3,No
10006,31,Research & Development,Research Scientist,17253,8,4,No,Travel_Rarely,4,No
10007,58,Research & Development,Sales Executive,2642,5,3,No,Frequently,4,No
10008,48,Research & Development,Analyst,8501,4,3,No,Travel_Rarely,3,No
10009,34,Sales,HR Specialist,9152,0,1,Yes,Frequently,3,No
10010,23,Research & Development,Research Scientist,17485,0,3,No,Frequently,3,No
10011,42,Research & Development,Sales Executive,7081,24,2,No,Travel_Rarely,3,No
10012,54,Sales,Manager,7587,19,2,No,Travel_Rarely,4,No
10013,45,Research & Development,Sales Executive,3960,16,3,No,Frequently,3,No
10014,55,Human Resources,Manager,6387,10,1,Yes,Frequently,3,Yes
10015,30,Research & Development,Manager,17378,11,2,No,Rarely,4,No
10016,23,Research & Development,Research Scientist,10984,2,4,No,Travel_Rarely,3,No
10017,51,Sales,Sales Executive,12335,5,4,Yes,Travel_Rarely,3,No
10018,43,Research & Development,Sales Executive,13410,10,2,No,Frequently,3,No
10019,32,Research & Development,Manager,3337,12,2,No,Rarely,3,No
10020,38,Sales,Developer,11729,10,3,Yes,Travel_Rarely,3,No
10021,57,Research & Development,HR Specialist,17469,7,1,No,Travel_Rarely,4,No
10022,34,Human Resources,Analyst,8346,9,3,Yes,Travel_Rarely,3,No
10023,28,Research & Development,Sales Executive,10963,1,1,No,Travel_Rarely,4,No
10024,37,Research & Development,HR Specialist,15836,23,4,No,Rarely,3,Yes
10025,54,Research & Development,HR Specialist,12650,13,4,No,Travel_Rarely,3,No
